X,Y,OBJECTID,source,ext_id,cat1,cat2,cat3,org_name,Name,addrln1,addrln2,city,state,hours,phones,url,info1,info2,post_id,description,zip,link,use_type,latitude,longitude,email,date_updated,dis_status,POINT_X,POINT_Y
-118.194311056456,33.7677139670091,1836,211,,Municipal Services,Public Internet Access,,www.lbpl.org,Long Beach Public Library,101 Pacific Ave.,,Long Beach,CA,"SITE HOURS: Tuesday, 10:00am to 8:00pm; Wednesday, Thursday, 10:00am to 6:00pm; Friday, Saturday, 10:00am to 5:00pm.  Information Center for People with Disabilities hours are Tuesday through Saturday, 10:00am to 5:00pm. ","FAX (562) 570-7408,  Service/Intake (562) 570-7500,  TDD (562) 570-6744",www.lbpl.org,,,1992,This is a public library for the city of Long Beach.,90822,http://egis3.lacounty.gov/lms/?p=1992,publish,33.767714,-118.194311,,2013/06/01 11:50:56+00,,6502611.04058905,1737902.94310623
-118.354735405699,34.0133499168626,2077,LA City Recreation and Parks,,Municipal Services,Public Internet Access,,LA City Department Recreation and Parks,Jim Gilliam Recreational and Senior Center,4000 S. La Brea Ave.,,Los Angeles,CA," Monday through Friday, 9:00am to 8:30am; Saturday, 9:00am to 5:00pm; Sunday 9:00am to 3:00pm. Closed holidays. ","Child Care and State Preschool Service/Intake (323) 291-5929,  Service/Intake (323) 291-5928",www.laparks.org/dos.htm,,,2210,"The department provides recreational programs through operation and maintenance of Los Angeles City parks, playgrounds, swimming pools, golf courses and recreation centers.",90008,http://egis3.lacounty.gov/lms/?p=2210,publish,34.01334995,-118.35473535,,2014/06/11 09:51:56+00,,6454166.95539081,1827428.36772956
-118.177563055767,33.8575879671273,2184,211,,Municipal Services,Public Internet Access,,www.lbpl.org,Long Beach Public Library - North Neighborhood Library,5571 Orange Ave.,,Long Beach,CA,"SITE HOURS: Tuesday, Thursday, 12:00 noon to 7:00pm; Wednesday, 12:00 noon to 6:00pm; Friday, Saturday, 10:00am to 5:00pm. ",Service/Intake (562) 570-1047,www.lbpl.org,,,2473,This is a public library for the city of Long Beach.,90805,http://egis3.lacounty.gov/lms/?p=2473,publish,33.857588,-118.177563,,2013/06/01 11:50:56+00,,6507759.23370472,1770601.03650256
-118.173990056351,33.7828379676568,2209,211,,Municipal Services,Public Internet Access,,www.lbpl.org,Long Beach Public Library - Mark Twain Neighborhood Library,1401 E. Anaheim St.,,Long Beach,CA,,Service/Intake (562) 570-1046,www.lbpl.org,,,2492,This is a public library for the city of Long Beach.,90813,http://egis3.lacounty.gov/lms/?p=2492,publish,33.782838,-118.17399,,2013/06/01 11:50:56+00,,6508796.96850589,1743395.6749029
-118.095246055877,33.8064099673566,2211,211,,Municipal Services,Public Internet Access,,www.lbpl.org,Long Beach Public Library - El Dorado Neighborhood Library,2900 Studebaker Rd.,,Long Beach,CA,,Service/Intake (562) 570-3136,www.lbpl.org,,,2493,This is a public library for the city of Long Beach.,90815,http://egis3.lacounty.gov/lms/?p=2493,publish,33.80641,-118.095246,,2013/06/01 11:50:56+00,,6532734.3947123,1751942.12631389
-118.214043056663,33.8046699676003,2228,211,,Municipal Services,Public Internet Access,,www.lbpl.org,Long Beach Public Library - Bret Harte Neighborhood Library,1595 W. Willow St.,,Long Beach,CA,,Service/Intake (562) 570-1044,www.lbpl.org,,,2509,This is a public library for the city of Long Beach.,90810,http://egis3.lacounty.gov/lms/?p=2509,publish,33.80467,-118.214043,,2013/06/01 11:50:56+00,,6496642.30219847,1751364.41815172
-118.130539056133,33.7580409675165,2267,211,,Municipal Services,Public Internet Access,,www.lbpl.org,Long Beach Public Library - Bay Shore Neighborhood Library,195 Bay Shore Ave.,,Long Beach,CA,,Service/Intake (562) 570-1039,www.lbpl.org,,,2545,This is a public library for the city of Long Beach.,90803,http://egis3.lacounty.gov/lms/?p=2545,publish,33.758041,-118.130539,,2013/06/01 11:50:56+00,,6521989.45130722,1734351.33997323
-118.145046056761,33.7823629678313,2269,211,,Municipal Services,Public Internet Access,,www.lbpl.org,Long Beach Public Library - Brewitt Neighborhood Library,4036 E. Anaheim St.,,Long Beach,CA,,Service/Intake (562) 570-1040,www.lbpl.org,,,2546,This is a public library for the city of Long Beach.,90804,http://egis3.lacounty.gov/lms/?p=2546,publish,33.782363,-118.145046,,2013/06/01 11:50:56+00,,6517592.42860521,1743208.85112956
-118.16852305627,33.7687789677065,2271,211,,Municipal Services,Public Internet Access,,www.lbpl.org,Long Beach Public Library - Alamitos Neighborhood Library,1836 E. 3rd St.,,Long Beach,CA,,Service/Intake (562) 570-1037,www.lbpl.org,,,2547,This is a public library for the city of Long Beach.,90802,http://egis3.lacounty.gov/lms/?p=2547,publish,33.768779,-118.168523,,2013/06/01 11:50:56+00,,6510449.74144705,1738276.38100764
-118.185782055919,33.7968699676029,2273,211,,Municipal Services,Public Internet Access,,www.lbpl.org,Long Beach Public Library - Burnett Neighborhood Library,560 E. Hill St.,,Long Beach,CA,,Service/Intake (562) 570-1041,www.lbpl.org,,,2548,This is a public library for the city of Long Beach.,90806,http://egis3.lacounty.gov/lms/?p=2548,publish,33.79687,-118.185782,,2013/06/01 11:50:56+00,,6505222.97073264,1748508.71421748
